feature,importance
displacement_length,672.5
radial_displacement,638.5
force_projection_before,633.0
displacement_z,376.0
local_energy_before,357.0
displacement_x,356.5
force_after_norm,355.5
displacement_y,353.0
local_energy_delta,341.5
nearest_any_after_1,329.0
force_before_norm,310.5
force_after_y,267.0
pu_count_after_r_2.0,260.5
force_after_z,251.0
nearest_o_after_1,247.5
nearest_any_after_2,238.5
local_energy_after,236.0
nearest_pu_after_1,233.0
pu_count_after_r_3.0,226.0
nearest_pu_after_2,191.5
force_before_x,184.5
force_after_x,178.0
nearest_any_before_8,172.5
force_before_y,167.0
nearest_pu_before_7,167.0
nearest_any_before_7,165.5
nearest_any_after_3,159.5
nearest_pu_after_3,158.5
force_before_z,144.5
nearest_pu_after_6,129.5
radius_after,127.0
nearest_pu_after_5,125.5
nearest_o_after_6,122.0
nearest_any_before_9,118.0
pu_count_after_r_4.0,113.5
nearest_any_after_5,113.0
nearest_pu_after_4,111.5
nearest_pu_after_7,109.5
nearest_any_after_4,109.0
nearest_any_after_7,107.5
radius_before,107.0
nearest_o_after_8,105.5
nearest_any_after_8,105.0
nearest_o_after_3,105.0
nearest_o_after_4,104.0
nearest_o_after_2,103.0
nearest_any_before_14,97.0
nearest_o_after_9,95.5
nearest_o_after_15,94.0
pu_count_after_r_6.0,93.5
nearest_any_after_10,93.0
o_count_after_r_4.0,92.5
o_count_after_r_2.0,90.0
nearest_any_after_6,87.5
nearest_pu_after_8,86.5
nearest_any_after_16,86.0
nearest_pu_before_11,86.0
nearest_o_after_5,85.5
pu_count_after_r_5.0,85.0
nearest_o_before_6,84.5
nearest_pu_before_12,83.5
nearest_any_after_9,83.0
nearest_pu_before_8,79.5
nearest_o_after_14,79.0
nearest_any_before_10,79.0
nearest_o_after_12,78.0
nearest_any_after_11,75.5
o_count_after_r_5.0,73.5
nearest_o_after_7,72.5
o_count_after_r_6.0,70.5
nearest_any_before_12,70.5
nearest_any_before_2,69.5
nearest_o_after_16,69.0
nearest_o_after_10,68.5
nearest_pu_before_10,68.0
nearest_pu_before_14,67.5
nearest_pu_before_13,67.5
nearest_any_after_12,67.5
nearest_pu_before_15,66.0
nearest_any_before_11,65.5
nearest_any_after_15,65.5
nearest_o_before_2,64.0
nearest_pu_before_9,63.5
o_count_after_r_3.0,63.5
nearest_pu_after_9,62.5
nearest_any_before_1,61.5
nearest_any_before_13,61.0
nearest_any_after_13,60.0
nearest_o_after_13,56.5
nearest_o_after_11,55.0
nearest_o_before_5,55.0
nearest_pu_after_12,54.5
nearest_pu_before_16,54.5
nearest_o_before_3,54.0
nearest_any_before_3,53.5
nearest_any_before_4,52.5
nearest_pu_after_11,52.0
nearest_o_before_1,50.5
nearest_any_before_16,50.0
nearest_any_before_6,50.0
nearest_o_before_4,49.5
nearest_any_after_14,49.0
nearest_pu_after_10,48.5
nearest_pu_before_1,48.0
nearest_pu_before_2,46.5
nearest_o_before_16,46.5
nearest_any_before_5,46.0
nearest_any_before_15,44.5
nearest_pu_before_6,43.0
o_count_before_r_6.0,40.5
nearest_pu_before_3,39.0
nearest_pu_after_15,36.5
nearest_o_before_15,36.0
nearest_pu_before_4,35.0
nearest_pu_after_13,33.0
nearest_pu_after_14,31.5
nearest_o_before_11,24.0
coord_deviation_delta,22.5
nearest_pu_before_5,20.0
pu_count_before_r_6.0,19.5
nearest_pu_after_16,18.0
o_count_before_r_5.0,17.0
nearest_o_before_12,8.0
pu_count_before_r_5.0,7.0
nearest_o_before_10,7.0
pu_count_before_r_4.0,7.0
o_count_before_r_3.0,6.5
coord_deviation_before,6.0
nearest_o_before_13,5.5
nearest_o_before_14,5.0
coord_deviation_after,4.5
pu_count_before_r_3.0,3.0
nearest_o_before_9,3.0
nearest_o_before_8,2.5
o_count_before_r_4.0,2.5
nearest_o_before_7,1.0
o_count_before_r_2.0,1.0
central_is_pu,0.5
pu_count_before_r_2.0,0.0
